Input,Error,P,I,D,Integral,Output,SetPoint,dtMS
0.500000,24.500000,24.500000,0.000000,0.000000,24.500000,24.500000,25.000000,0
12.750000,12.250000,12.250000,0.000000,-0.000000,220.500000,12.250000,25.000000,16
18.875000,6.125000,6.125000,0.000000,0.000000,318.500000,6.125000,25.000000,16
21.937500,3.062500,3.062500,0.000000,0.000000,349.125000,3.062500,25.000000,10
23.468750,1.531250,1.531250,0.000000,0.000000,372.093750,1.531250,25.000000,15
24.234375,0.765625,0.765625,0.000000,0.000000,382.812500,0.765625,25.000000,14
24.617188,0.382813,0.382813,0.000000,0.000000,387.406250,0.382813,25.000000,12
24.808594,0.191406,0.191406,0.000000,0.000000,390.085938,0.191406,25.000000,14
24.904297,0.095703,0.095703,0.000000,0.000000,391.425781,0.095703,25.000000,14
24.952148,0.047852,0.047852,0.000000,0.000000,392.095703,0.047852,25.000000,14
24.976074,0.023926,0.023926,0.000000,0.000000,392.430664,0.023926,25.000000,14
24.988037,0.011963,0.011963,0.000000,0.000000,392.622070,0.011963,25.000000,16
24.994019,0.005981,0.005981,0.000000,0.000000,392.681885,0.005981,25.000000,10
24.997009,0.002991,0.002991,0.000000,0.000000,392.717773,0.002991,25.000000,12
24.998505,0.001495,0.001495,0.000000,0.000000,392.732727,0.001495,25.000000,10
24.999252,0.000748,0.000748,0.000000,0.000000,392.740204,0.000748,25.000000,10
24.999626,0.000374,0.000374,0.000000,0.000000,392.745422,0.000374,25.000000,14
24.999813,0.000187,0.000187,0.000000,0.000000,392.747284,0.000187,25.000000,10
24.999907,0.000093,0.000093,0.000000,0.000000,392.748596,0.000093,25.000000,14
24.999954,0.000046,0.000046,0.000000,0.000000,392.749329,0.000046,25.000000,16
24.999977,0.000023,0.000023,0.000000,0.000000,392.749603,0.000023,25.000000,12
24.999989,0.000011,0.000011,0.000000,0.000000,392.749756,0.000011,25.000000,14
24.999994,0.000006,0.000006,0.000000,0.000000,392.749847,0.000006,25.000000,16
24.999996,0.000004,0.000004,0.000000,0.000000,392.749878,0.000004,25.000000,12
24.999998,0.000002,0.000002,0.000000,0.000000,392.749908,0.000002,25.000000,14
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,12
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,10
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,12
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,16
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,12
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,14
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,12
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,10
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,14
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,12
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,12
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,16
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,16
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,14
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,14
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,16
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,12
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,16
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,12
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,12
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,12
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,10
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,12
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,12
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,12
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,12
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,12
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,12
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,10
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,10
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,12
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,12
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,16
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,14
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,12
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,12
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,10
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,14
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,10
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,10
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,16
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,14
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,13
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,14
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,14
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,12
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,14
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,14
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,12
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,12
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,12
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,13
25.000000,0.000000,0.000000,0.000000,0.000000,392.749908,0.000000,25.000000,14
25.000000,25.000000,25.000000,0.000000,0.000000,300.000000,25.000000,50.000000,12
37.500000,12.500000,12.500000,0.000000,-0.000000,475.000000,12.500000,50.000000,14
43.750000,6.250000,6.250000,0.000000,0.000000,575.000000,6.250000,50.000000,16
46.875000,3.125000,3.125000,0.000000,0.000000,606.250000,3.125000,50.000000,10
48.437500,1.562500,1.562500,0.000000,0.000000,631.250000,1.562500,50.000000,16
49.218750,0.781250,0.781250,0.000000,0.000000,642.187500,0.781250,50.000000,14
49.609375,0.390625,0.390625,0.000000,0.000000,646.875000,0.390625,50.000000,12
49.804688,0.195313,0.195313,0.000000,0.000000,649.218750,0.195313,50.000000,12
49.902344,0.097656,0.097656,0.000000,0.000000,650.390625,0.097656,50.000000,12
49.951172,0.048828,0.048828,0.000000,0.000000,651.171875,0.048828,50.000000,16
49.975586,0.024414,0.024414,0.000000,0.000000,651.562500,0.024414,50.000000,16
49.987793,0.012207,0.012207,0.000000,0.000000,651.733398,0.012207,50.000000,14
49.993896,0.006104,0.006104,0.000000,0.000000,651.806641,0.006104,50.000000,12
49.996948,0.003052,0.003052,0.000000,0.000000,651.849365,0.003052,50.000000,14
49.998474,0.001526,0.001526,0.000000,0.000000,651.870728,0.001526,50.000000,14
49.999237,0.000763,0.000763,0.000000,0.000000,651.879883,0.000763,50.000000,12
49.999619,0.000381,0.000381,0.000000,0.000000,651.883667,0.000381,50.000000,10
49.999809,0.000191,0.000191,0.000000,0.000000,651.885559,0.000191,50.000000,10
49.999905,0.000095,0.000095,0.000000,0.000000,651.887085,0.000095,50.000000,16
49.999954,0.000046,0.000046,0.000000,0.000000,651.887573,0.000046,50.000000,10
49.999977,0.000023,0.000023,0.000000,0.000000,651.887878,0.000023,50.000000,14
49.999989,0.000011,0.000011,0.000000,0.000000,651.888062,0.000011,50.000000,14
49.999992,0.000008,0.000008,0.000000,0.000000,651.888184,0.000008,50.000000,12
49.999996,0.000004,0.000004,0.000000,0.000000,651.888245,0.000004,50.000000,16
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,14
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,14
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,14
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,12
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,12
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,11
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,16
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,14
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,16
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,12
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,14
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,14
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,14
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,12
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,14
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,12
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,12
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,13
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,15
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,12
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,16
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,12
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,10
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,14
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,14
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,14
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,12
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,12
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,14
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,12
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,12
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,12
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,14
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,14
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,14
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,14
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,16
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,10
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,12
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,16
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,16
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,12
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,14
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,14
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,14
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,12
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,14
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,10
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,14
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,14
50.000000,0.000000,0.000000,0.000000,0.000000,651.888245,0.000000,50.000000,14
50.000000,-25.000000,-25.000000,-0.000000,-0.000000,-350.000000,-25.000000,25.000000,14
37.500000,-12.500000,-12.500000,-0.000000,0.000000,-500.000000,-12.500000,25.000000,12
31.250000,-6.250000,-6.250000,-0.000000,0.000000,-575.000000,-6.250000,25.000000,12
28.125000,-3.125000,-3.125000,-0.000000,0.000000,-612.500000,-3.125000,25.000000,12
26.562500,-1.562500,-1.562500,-0.000000,0.000000,-628.125000,-1.562500,25.000000,10
25.781250,-0.781250,-0.781250,-0.000000,0.000000,-637.500000,-0.781250,25.000000,12
25.390625,-0.390625,-0.390625,-0.000000,0.000000,-642.968750,-0.390625,25.000000,14
25.195313,-0.195313,-0.195313,-0.000000,0.000000,-645.703125,-0.195313,25.000000,14
25.097656,-0.097656,-0.097656,-0.000000,0.000000,-647.070313,-0.097656,25.000000,14
25.048828,-0.048828,-0.048828,-0.000000,0.000000,-647.753906,-0.048828,25.000000,14
25.024414,-0.024414,-0.024414,-0.000000,0.000000,-648.095703,-0.024414,25.000000,14
25.012207,-0.012207,-0.012207,-0.000000,0.000000,-648.242188,-0.012207,25.000000,12
25.006104,-0.006104,-0.006104,-0.000000,0.000000,-648.327637,-0.006104,25.000000,14
25.003052,-0.003052,-0.003052,-0.000000,0.000000,-648.367310,-0.003052,25.000000,13
25.001526,-0.001526,-0.001526,-0.000000,0.000000,-648.385620,-0.001526,25.000000,12
25.000763,-0.000763,-0.000763,-0.000000,0.000000,-648.397095,-0.000763,25.000000,15
25.000381,-0.000381,-0.000381,-0.000000,0.000000,-648.401672,-0.000381,25.000000,12
25.000191,-0.000191,-0.000191,-0.000000,0.000000,-648.403564,-0.000191,25.000000,10
25.000095,-0.000095,-0.000095,-0.000000,0.000000,-648.404541,-0.000095,25.000000,10
25.000048,-0.000048,-0.000048,-0.000000,0.000000,-648.405212,-0.000048,25.000000,14
25.000023,-0.000023,-0.000023,-0.000000,0.000000,-648.405518,-0.000023,25.000000,12
25.000011,-0.000011,-0.000011,-0.000000,0.000000,-648.405640,-0.000011,25.000000,12
25.000006,-0.000006,-0.000006,-0.000000,0.000000,-648.405701,-0.000006,25.000000,14
25.000004,-0.000004,-0.000004,-0.000000,0.000000,-648.405762,-0.000004,25.000000,14
25.000002,-0.000002,-0.000002,-0.000000,0.000000,-648.405762,-0.000002,25.000000,15
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,10
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,16
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,10
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,12
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,12
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,12
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,10
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,12
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,12
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,14
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,10
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,12
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,12
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,12
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,10
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,10
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,10
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,10
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,12
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,16
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,10
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,16
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,14
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,14
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,14
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,10
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,14
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,10
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,10
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,14
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,10
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,12
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,14
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,10
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,14
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,12
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,10
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,12
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,12
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,12
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,14
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,14
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,12
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,14
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,12
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,16
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,12
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,12
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,12
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,12
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,16
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,12
25.000000,0.000000,0.000000,-0.000000,0.000000,-648.405762,0.000000,25.000000,16
